prompt,entity,entity_id
"example:my laptop's battery has been draining quickly over the past few days and now a message pops up on the screen saying ""battery error"". i have tried restarting the laptop, but the problem persists.",battery,0
my laptop's battery is no longer charging and a battery error message is displaying on the screen.,battery,0
"my laptop has been displaying an error message indicating that the battery is no longer able to hold a charge. i have tried replacing the battery, but the error message persists.",battery,0
my laptop is showing an error message that my battery needs to be replaced even though it is still working.,battery,0
"my laptop's battery will not charge past 50%, even when it is plugged in and i get an error message that says ""low battery - please plug in your laptop to continue using it.""",battery,0
"my laptop will no longer charge and an error message appears saying ""battery error: replace battery"".",battery,0
my laptop battery won't charge beyond a certain percentage and i'm getting a battery error message.,battery,0
my laptop is not holding a charge and is displaying a battery error message.,battery,0
"my laptop battery will not charge and is displaying an error message that says ""battery cannot be charged.""",battery,0
"my laptop won't hold a charge and i get a ""battery error"" message when i try to turn it on.",battery,0
"i am getting an error message on my laptop saying ""battery not detected"". i have replaced the battery, but the same error message is still being displayed.",battery,0
"my laptop is showing a ""battery error"" message and not charging my battery.",battery,0
"i'm getting a ""battery not charging"" error on my laptop. it's been plugged in for a couple of hours, but the battery percentage hasn't increased.",battery,0
"example problem: my laptop's battery is not holding a charge, and i'm getting an error message when i try to update my laptop's drivers.",battery,0
"my laptop's battery is displaying an error message saying it needs to be serviced, even though it is relatively new.",battery,0
"my laptop is not holding a charge and its battery status says ""error.""",battery,0
"my laptop battery has been displaying an error message that reads ""low battery"" even when the battery is fully charged.",battery,0
"my laptop shuts down suddenly without warning, even when it's plugged in, and i'm getting a battery error message.",battery,0
"example problem: my laptop is giving me an error message every time i try to charge the battery, saying that the battery is not charging properly.",battery,0
"my laptop's battery isn't charging, and i'm getting an error message saying ""battery/power config error"".",battery,0
"i am getting an error message on my laptop that says ""the battery is not charging. please restart your computer and try again.""",battery,0
my laptop battery drains very quickly and gives an error message when trying to recharge.,battery,0
my laptop battery is showing an error message that says 'battery cannot be identified'.,battery,0
"my laptop battery is not charging and i'm getting an error message saying ""battery not detected"".",battery,0
"my laptop won't turn on and the error message says ""battery is low.""",battery,0
"my laptop is showing a ""battery not charging"" error when i plug it into a power outlet.",battery,0
"my laptop won't stay charged for more than an hour, and i'm seeing an error message related to the battery.",battery,0
"my laptop's battery is not charging, even when i plug it in and leave it for hours. the error message i get is ""battery not detected.""",battery,0
"my laptop's battery is not charging and the error message i'm receiving says ""battery not compatible"".",battery,0
"my laptop's battery will not charge and the error message displayed says ""battery error - replace battery"".",battery,0
