prompt,intent,intent_id
"i'm getting frequent errors when i try to access websites and streaming services, indicating that there is an issue with my internet performance.",performance,0
"example:i am experiencing slow internet speeds while browsing the web. i have reset my router and restarted my computer, but the internet performance remains slow.",performance,0
i'm experiencing slow download speeds on my internet connection despite the fact that my internet plan should provide faster speeds.,performance,0
my internet connection has been running extremely slow for the past few days and i can't access certain websites.,performance,0
my internet connection suddenly dropped and i am getting an error message when i try to connect.,performance,0
i am having trouble with my internet connection. it is constantly having slow loading times or errors when trying to access websites.,performance,0
i'm having trouble accessing certain websites or apps and pages are loading slowly.,performance,0
my internet is running extremely slow and i get frequent connection timeouts when trying to access websites.,performance,0
"i am having difficulty accessing the internet on my computer, and it seems to be taking an unusually long time to load webpages.",performance,0
example problem: my internet is running slow and i'm constantly getting connection errors.,performance,0
i am experiencing slow internet speeds and frequent connection drops while trying to browse the web.,performance,0
my internet connection is slow and i'm getting error messages when i try to open certain websites.,performance,0
my internet connection is running very slowly and i'm getting frequent error messages when i attempt to access certain websites.,performance,0
i am having trouble streaming videos online due to frequent internet performance errors.,performance,0
i'm getting frequent connection timeouts and slow loading times when trying to access websites.,performance,0
"my internet connection is slow and drops intermittently, causing me to lose my connection and fail to load webpages.",performance,0
i am experiencing slow internet speeds when i use my home wi-fi network.,performance,0
"my internet speed has been significantly slower than usual. when i run a speed test, i get an error message that says there is a performance issue with my connection.",performance,0
"i'm getting poor internet performance, with frequent connection drops and slow download speeds.",performance,0
my internet connection keeps dropping and i'm having difficulty loading webpages.,performance,0
i am experiencing slow internet speeds and frequent disconnects when i am using wi-fi.,performance,0
i am having trouble loading websites and videos due to slow internet speeds and frequent internet connection errors.,performance,0
"my internet connection has been slow and sporadic, and i keep getting error messages whenever i try to stream videos.",performance,0
my internet connection is running very slow and i'm getting frequent connection errors when trying to access certain websites.,performance,0
my internet connection is running very slow and i am getting an error message when i open certain websites.,performance,0
"my internet connection has been very slow and unreliable, and i often get error messages when trying to access websites.",performance,0
i am having trouble with slow internet speeds and frequent connection drops.,performance,0
my internet connection has been slowing down over the past few weeks and i can no longer stream content without constant buffering.,performance,0
i am getting poor download speeds on my home wifi network and experiencing frequent connection drops.,performance,0
i am experiencing slow internet speeds and frequent connection drops when i try to stream video.,performance,0
i am experiencing slow speeds and frequent lags when trying to access websites or stream video content.,performance,0
"my internet connection has been slowing down for the past few days, and i haven't been able to load webpages as quickly as i used to.",performance,0
my internet connection is incredibly slow and i'm receiving frequent errors when trying to access websites.,performance,0
"my internet connection is very slow, and i am experiencing frequent connection errors.",performance,0
my internet connection is very slow and pages take a long time to load.,performance,0
"i am getting frequent interruptions in my internet connection, causing my computer to freeze and crash.",performance,0
my internet speeds are significantly slower than usual and i am unable to access certain websites.,performance,0
my internet connection is slow and my streaming videos are often interrupted or take a long time to load.,performance,0
my internet connection has been running slower than normal and i'm getting frequent performance errors when i try to access certain websites.,performance,0
my internet connection is slow and i am having difficulty loading webpages.,performance,0
my internet connection is slow and i'm experiencing frequent lag.,performance,0
i am having trouble loading webpages and streaming videos due to poor internet performance.,performance,0
i am having trouble with slow internet speeds when i try to stream online videos.,performance,0
"i am experiencing extremely slow internet connection speeds, and the connection keeps dropping out.",performance,0
my internet connection is slow and keeps disconnecting unexpectedly.,performance,0
"i am getting frequent 'timed out' messages when trying to load webpages, which has drastically slowed down my internet performance.",performance,0
"i'm experiencing a slow connection with my internet, making it difficult to stream videos, download content, and browse the web.",performance,0
i am experiencing slow internet speeds and frequent disconnections when attempting to access websites or streaming content.,performance,0
i am experiencing slow internet speeds and frequent disconnects from my home network.,performance,0
i am experiencing slow download speeds and frequent connection drops when trying to access the internet.,performance,0
my internet connection keeps timing out and pages take a long time to load.,performance,0
"i have been experiencing slow internet speeds, which causes my streaming services to buffer and websites to take longer than usual to load.",performance,0
my internet connection is slow and i am having trouble loading web pages.,performance,0
"my internet connection is slow and unreliable, with frequent errors when loading pages or streaming video.",performance,0
the internet connection on my laptop has been slow and unreliable lately and i keep getting errors when trying to stream video or download files.,performance,0
my internet connection is slow and i often experience connection timeouts or page loading errors.,performance,0
"my internet connection is running very slow, and i keep getting connection errors when i try to access websites or stream videos.",performance,0
i am experiencing frequent connection drops while using my home wi-fi network.,performance,0
"i am experiencing slow internet speeds with frequent disconnects, even though my connection shows that it is active.",performance,0
"my internet connection keeps dropping or is extremely slow, even though i have good signal strength.",performance,0
i am experiencing slow internet speeds and frequent connection drops when using my home wi-fi network.,performance,0
my internet connection is very slow and is causing a lot of lag when i'm trying to stream videos or play online games.,performance,0
my internet connection regularly drops and i often experience slow response times when loading webpages.,performance,0
".i am experiencing problems with slow loading speeds when using the internet. i have tried restarting my router and modem, but the problem persists.",performance,0
my internet connection is extremely slow and keeps dropping out.,performance,0
i am getting frequent errors when trying to stream video over the internet.,performance,0
my internet speeds have been very slow lately and i am experiencing frequent lag while streaming videos or playing online games.,performance,0
i am constantly experiencing slow connection speeds and long loading times when i try to access websites or load videos.,performance,0
i am noticing that my internet connection is slower than usual and i am being met with frequent connection errors.,performance,0
i am experiencing slow internet speeds and frequent connection drops while trying to stream videos online.,performance,0
"my internet connection is slow and constantly lags, making it difficult to stream videos or download files.",performance,0
i am having trouble with slow internet speeds and frequent connection errors.,performance,0
"i am experiencing very slow internet speeds when trying to access certain websites, and sometimes the website won't even load at all.",performance,0
"my internet connection is frequently dropping, resulting in slow loading times and frequent disconnects.",performance,0
my internet connection is slow and keeps cutting out. i am constantly having to reset my modem and router to get it working again.,performance,0
my internet connection is extremely slow and i'm getting frequent errors when trying to access webpages.,performance,0
my internet connection is slow and i am having difficulty loading webpages.,performance,0
my internet speeds are much slower than what i am paying for and i am getting frequent connection errors when trying to stream videos or browse the internet.,performance,0
"my internet connection has been slow and unreliable lately, and i keep getting error messages when trying to access websites.",performance,0
"my internet connection has been slow and unreliable over the past few weeks. i have reset my router multiple times and disconnected/reconnected different devices, but the issue persists.",performance,0
